💖常看,#genre#
凤凰卫视中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰卫视资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K超高清,http://121.18.168.210/liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-13新闻,https://iplive-try.wasu.tv/11127.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643180055072-2-ba8136bc9a972122d1d99635d6010fcc
CCTV-13新闻,http://39.134.66.2/PLTV/88888888/224/3221225812/index.m3u8?key=635dfdbc233a862ba75da25819f42f19
CCTV-1综合,https://iplive-try.wasu.tv/11078.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643171858140-2-0050646e5c7933bdc45871c5d629d453
CCTV-1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1综合,http://117.148.179.155/PLTV/88888888/224/3221231468/1.m3u8
CCTV-2财经,https://iplive-try.wasu.tv/11079.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643172588992-2-106ed245797cab5bf14790c11954fb7d
CCTV-2财经,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3综艺,https://iplive-try.wasu.tv/11101.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643173132234-2-661ffd37db44674bc93d1fbe0e26dc18
CCTV-3综艺,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺,http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8
CCTV-4中文国际,https://iplive-try.wasu.tv/11117.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643179315212-2-19d8a4ac88a934b97009f84502c3cac8
CCTV-4中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4中文国际,http://111.20.33.93/TVOD/88888893/224/3221226191/index.m3u8
CCTV-6电影,https://iplive-try.wasu.tv/11103.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643169640019-2-33940ad8c84d7cc8c58473edc0fa4616
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-8电视剧,https://iplive-try.wasu.tv/11104.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q990BA9552C5EAE0&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643200512741-2-eaaa0e4fc7f52be3342215298fd89000
CCTV-8电视剧,http://111.20.33.93/TVOD/88888893/224/3221226391/index.m3u8
CCTV-8电视剧,http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8
